Brand,ProductName,ProductScore,ReviewCount,ProductPrice,Category,UserReview
Adidas,Adidas Caprock ,83,353 reviews,$60,hiking-shoes,4.5 
Adidas,Adidas Terrex Swift R2 ,84,"20,152 reviews",$195,hiking-shoes,4.4 
Adidas,Adidas Terrex Skychaser 2.0 ,82,"1,572 reviews",$73,hiking-shoes,4.4 
Adidas,Adidas Edge Lux 5 New ,75,721 reviews,NA,training-shoes,4.1 
Adidas,Adidas Powerlift 5 ,87,87 reviews,$31,training-shoes,4.6 
Adidas,Adidas Adipower 2 ,90,"3,742 reviews",$72,training-shoes,4.6 
Adidas,Adidas Adipower 3 New ,87,875 reviews,$63,training-shoes,4.5 
Adidas,Adidas Pureboost Trainer ,81,"1,660 reviews",$59,training-shoes,4.4 
Adidas,Adidas CrazyTrain Pro ,75,123 reviews,NA,training-shoes,4.0 
Adidas,Adidas CrazyTrain Pro 3.0 ,83,542 reviews,NA,training-shoes,4.4 
Adidas,Adidas Dropset Trainer ,89,392 reviews,$65,training-shoes,4.6 
Adidas,Adidas Powerlift 3.1 ,87,"6,882 reviews",$69,training-shoes,4.7 
Adidas,Adidas CrazyTrain Bounce ,77,104 reviews,NA,training-shoes,4.1 
Adidas,Adidas FitBoost Trainer ,85,216 reviews,$92,training-shoes,4.5 
Adidas,Adidas The Total ,89,94 reviews,$72,training-shoes,4.6 
Adidas,Adidas Athletics 24/7 Trainer ,79,775 reviews,NA,training-shoes,4.3 
Adidas,Adidas Alphabounce Trainer ,86,351 reviews,$50,training-shoes,4.3 
Adidas,Adidas Adipure 360.3 ,82,119 reviews,NA,training-shoes,4.1 
Adidas,Adidas Power Perfect 3 ,91,"3,970 reviews",$69,training-shoes,4.6 
Adidas,Adidas Futurenatural ,82,747 reviews,$45,training-shoes,4.4 
Adidas,Adidas Trainer V ,87,600 reviews,$59,training-shoes,4.5 
Adidas,Adidas Crazy Power RK ,82,496 reviews,$100,training-shoes,4.4 
Adidas,Adidas Icon Trainer ,71,341 reviews,$55,training-shoes,3.8 
Adidas,Adidas Leistung 16 II ,87,"1,212 reviews",$90,training-shoes,4.6 
Adidas,Adidas Powerlift 4 ,90,"18,186 reviews",$41,training-shoes,4.7 
Adidas,Adidas Power Perfect 2 ,91,808 reviews,NA,training-shoes,4.6 
Adidas,Adidas Crazytrain LT ,84,172 reviews,NA,training-shoes,4.5 
Adidas,Adidas AdiPower Weightlifting Shoes ,92,"1,964 reviews",$165,training-shoes,4.7 
Adidas,Adidas Terrex Voyager 21 New ,90,"1,174 reviews",$54,walking-shoes,4.5 
Adidas,Adidas SoleCourt Parley ,81,348 reviews,$239,tennis-shoes,4.4 
Adidas,Adidas Adizero Defiant Bounce 2 ,80,697 reviews,NA,tennis-shoes,4.3 
Adidas,Adidas Stycon ,77,743 reviews,$45,tennis-shoes,4.1 
Adidas,Adidas Adizero Ubersonic 4 ,87,"1,230 reviews",$68,tennis-shoes,4.2 
Adidas,Adidas Adizero Ubersonic 3.0 ,90,"2,406 reviews",$108,tennis-shoes,4.4 
Adidas,Adidas Adizero Defiant Bounce ,85,967 reviews,$80,tennis-shoes,4.1 
Adidas,Adidas SoleCourt Boost Clay ,83,943 reviews,$90,tennis-shoes,4.2 
Adidas,Adidas Stycon Clay ,73,230 reviews,$105,tennis-shoes,3.9 
Adidas,Adidas SoleCourt Primeblue ,79,203 reviews,$90,tennis-shoes,4.2 
Adidas,Adidas Adizero Ubersonic 3.0 Clay ,87,708 reviews,$104,tennis-shoes,4.3 
Adidas,Adidas Adizero Club ,81,"2,705 reviews",NA,tennis-shoes,4.4 
Adidas,Adidas Stycon BOA ,86,146 reviews,NA,tennis-shoes,4.2 
Adidas,Adidas Barricade Club ,86,"2,540 reviews",$123,tennis-shoes,4.4 
Adidas,Adidas Adizero Ubersonic ,82,93 reviews,$80,tennis-shoes,4.2 
Adidas,Adidas Adizero Ubersonic 2.0 ,86,595 reviews,$80,tennis-shoes,4.4 
Adidas,Adidas Barricade ,87,"4,129 reviews",$70,tennis-shoes,4.3 
Adidas,Adidas Barricade 2018 ,85,588 reviews,$94,tennis-shoes,4.2 
Adidas,Adidas Barricade Classic Bounce ,78,658 reviews,NA,tennis-shoes,4.2 
Adidas,Adidas SoleMatch Bounce ,81,"2,712 reviews",$140,tennis-shoes,4.2 
Adidas,Adidas GameCourt ,82,"14,072 reviews",$62,tennis-shoes,4.2 
Adidas,Adidas CourtJam Bounce ,84,"4,744 reviews",$76,tennis-shoes,4.3 
Adidas,Adidas Adizero Prime SP ,85,62 reviews,$80,track-and-field-shoes,4.2 
Adidas,Adidas Adizero Ambition 4 ,84,300 reviews,$35,track-and-field-shoes,4.2 
Adidas,Adidas Adizero Prime Finesse ,84,285 reviews,$33,track-and-field-shoes,4.4 
Adidas,Adidas Adizero Shotput ,88,204 reviews,$80,track-and-field-shoes,4.6 
Adidas,Adidas Adizero MD ,89,148 reviews,$70,track-and-field-shoes,4.6 
Adidas,Adidas Adizero LJ 2 ,83,12 reviews,$65,track-and-field-shoes,4.9 
Adidas,Adidas Adizero MD 2 ,76,25 reviews,$28,track-and-field-shoes,4.4 
Adidas,Adidas Adizero HJ ,83,220 reviews,$70,track-and-field-shoes,4.3 
Adidas,Adidas Adizero Finesse ,89,129 reviews,NA,track-and-field-shoes,4.5 
Adidas,Adidas Adizero LJ ,88,214 reviews,$65,track-and-field-shoes,4.6 
Adidas,Adidas Adizero TJ/PV ,87,205 reviews,$50,track-and-field-shoes,4.6 
Adidas,Adidas Adizero Avanti ,82,137 reviews,$26,track-and-field-shoes,4.3 
Adidas,Adidas Adizero Accelerator ,87,142 reviews,$34,track-and-field-shoes,4.4 
Adidas,Adidas Throwstar ,80,252 reviews,NA,track-and-field-shoes,4.2 
Adidas,Adidas Jumpstar ,82,191 reviews,$68,track-and-field-shoes,4.3 
Adidas,Adidas Sprintstar ,88,"1,752 reviews",$41,track-and-field-shoes,4.5 
Adidas,Adidas Distancestar ,87,"1,217 reviews",$17,track-and-field-shoes,4.4 
Adidas,Adidas Adizero Ambition ,83,98 reviews,$25,track-and-field-shoes,4.4 
Adidas,Adidas Adizero Javelin Throw ,85,81 reviews,$100,track-and-field-shoes,4.5 
Adidas,Adidas Copa 19.1 Indoor ,82,8 reviews,NA,soccer-cleats,4.9 
Adidas,Adidas Copa 20+ Firm Ground ,85,18 reviews,NA,soccer-cleats,5.0 
Adidas,Adidas Ace 17.1 Firm Ground ,83,224 reviews,NA,soccer-cleats,4.2 
Adidas,Adidas Ace 17.3 Firm Ground ,83,"1,025 reviews",NA,soccer-cleats,4.1 
Adidas,Adidas Copa 20.3 Firm Ground ,86,"4,549 reviews",$41,soccer-cleats,4.4 
Adidas,Adidas Nemeziz 19+ Firm Ground ,85,108 reviews,$110,soccer-cleats,4.4 
Adidas,Adidas X Speedflow.1 FG ,85,92 reviews,$182,soccer-cleats,4.2 
Adidas,Adidas X 17.1 Firm Ground ,81,647 reviews,$70,soccer-cleats,4.3 
Adidas,Adidas Copa 19.4 Turf ,82,423 reviews,NA,soccer-cleats,4.2 
Adidas,Adidas Predator 20.1 Shoes ,89,85 reviews,$67,soccer-cleats,4.7 
Adidas,Adidas Nemeziz 19.1 Firm Ground ,86,360 reviews,$91,soccer-cleats,4.4 
Adidas,Adidas X Speedflow.2 Firm Ground New ,81,66 reviews,NA,soccer-cleats,4.3 
Adidas,Adidas Copa 19.4 Indoor ,82,827 reviews,NA,soccer-cleats,4.4 
Adidas,Adidas Copa Sense.1 FG New ,78,108 reviews,$92,soccer-cleats,4.2 
Adidas,Adidas Nemeziz 17+ 360 Agility Firm Ground ,90,257 reviews,$85,soccer-cleats,4.5 
Adidas,Adidas Nemeziz 19.3 Turf ,88,"2,539 reviews",NA,soccer-cleats,4.5 
Adidas,Adidas Copa 20.1 Firm Ground ,81,214 reviews,$102,soccer-cleats,4.3 
Adidas,Adidas Copa 19.3 Firm Ground ,80,"1,410 reviews",$40,soccer-cleats,4.3 
Adidas,Adidas Copa 19.4 Firm Ground ,84,"2,829 reviews",$60,soccer-cleats,4.3 
Adidas,Adidas Nemeziz Messi 19.1 Firm Ground ,86,77 reviews,$80,soccer-cleats,4.6 
Adidas,Adidas Copa Sense+ FG ,82,96 reviews,$145,soccer-cleats,4.3 
